period,디저트,실속소비
2023-08-01,0.7849,58.67398
2023-09-01,0.67888,53.05401
2023-10-01,0.58999,56.08195
2023-11-01,2.25637,56.47572
2023-12-01,1.79719,59.51115
2024-01-01,2.36006,70.14705
2024-02-01,5.52772,71.86576
2024-03-01,8.14149,85.6906
2024-04-01,8.13086,79.20664
2024-05-01,21.16825,78.31656
2024-06-01,55.68943,71.77146
2024-07-01,100.0,75.33165
2024-08-01,86.01016,72.87711
2024-09-01,50.34746,68.09455
2024-10-01,29.44816,70.85418
2024-11-01,16.75928,65.85277
2024-12-01,12.60646,65.91683
2025-01-01,12.2008,66.22243
2025-02-01,11.66987,70.76303
2025-03-01,9.87057,72.81736
2025-04-01,8.09031,70.72526
2025-05-01,10.9351,70.75585
2025-06-01,8.31895,68.41916
2025-07-01,8.71811,71.99208
2025-08-01,10.63444,70.73725
2025-09-01,9.14827,68.68469
2025-10-01,11.47063,68.51617
2025-11-01,22.62137,66.67524
2025-12-01,67.42709,62.99698
2026-01-01,95.68079,65.21617
2026-02-01,18.68039,57.45303
2026-03-01,6.61318,65.2829
2026-04-01,4.92245,63.22765
2026-05-01,4.04944,61.53401
2026-06-01,3.66488,60.00657
2026-07-01,4.07284,61.37413
2026-08-01,3.94691,53.97102
