period,국내여행/레저,스몰럭셔리/경험,절약/짠테크,해외여행,헬시플레저/건강
2024-01-01,14.94737,8.03846,52.86579,33.04397,14.65037
2024-02-01,27.15044,7.71518,48.82247,25.39667,12.76047
2024-03-01,16.73622,7.03846,51.00217,24.84185,14.20524
2024-04-01,20.22539,6.49637,45.87932,21.74689,17.33016
2024-05-01,20.33358,21.88923,47.87421,25.21247,14.45391
2024-06-01,17.05272,53.82259,42.81546,24.87279,13.63107
2024-07-01,18.12951,100.0,44.08209,28.24854,15.13705
2024-08-01,17.21224,56.17888,44.61963,27.49861,15.47384
2024-09-01,18.50768,31.53846,43.99113,20.26968,14.54094
2024-10-01,20.93088,18.50944,45.32755,21.97714,14.03176
2024-11-01,15.59222,13.18899,40.81334,23.04617,14.3243
2024-12-01,13.40372,11.08582,39.67327,26.63598,11.92273
2025-01-01,13.18729,9.39393,42.82664,24.66551,12.53452
2025-02-01,11.97535,10.46839,46.36455,20.64646,13.99947
2025-03-01,11.52163,8.49994,47.16928,18.38573,12.61762
2025-04-01,15.21161,6.79848,47.38649,17.72831,11.18899
2025-05-01,14.64298,7.43299,44.32905,17.92885,11.53586
2025-06-01,12.91999,7.74281,41.19405,17.07952,11.99305
2025-07-01,13.67712,7.13237,44.57306,18.04615,11.78432
2025-08-01,12.36144,7.50693,40.34844,16.95151,12.4746
2025-09-01,12.44185,6.95035,37.55012,16.0062,11.94177
2025-10-01,13.88947,7.72465,35.33156,18.53123,9.58454
2025-11-01,10.75317,8.33551,33.96937,18.27035,8.94156
2025-12-01,10.22262,12.02714,35.07058,21.11834,9.66097
2026-01-01,8.08539,19.20526,38.83915,22.43971,10.9844
2026-02-01,8.02253,8.54491,33.65638,16.12107,9.17765
2026-03-01,7.42611,5.17629,37.91826,15.39855,10.32113
2026-04-01,11.20622,3.94858,34.77586,12.00552,9.52344
2026-05-01,10.76543,3.83459,34.96704,11.65,9.20688
2026-06-01,8.36392,3.51292,36.0267,12.33537,9.1909
